scales,within_group,exp_group,stimulus,obs,yes,unsure,no,yes_rate,unsure_rate,no_rate
always,1,1,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,24,23,1,0,0.9583333333333334,0.041666666666666664,0.0
always,2,2,"<p style='font-size: 25px;'>Robin's Dad advises Robin to go to bed early.<br>One evening, after dinner, Dad asks Robin: &quot;Do you sometimes stay up late?&quot;<br>Robin replies: &quot;I sometimes stay up late.&quot;<br>Would you conclude that Robin does not always stay up late?</p>",24,21,2,1,0.875,0.08333333333333333,0.041666666666666664
always,2,3,"<p style='font-size: 25px;'>Robin's Dad advises Robin to go to bed early.<br>One evening, after dinner, Dad asks Robin: &quot;Do you always stay up late?&quot;<br>Robin replies: &quot;I sometimes stay up late.&quot;<br>Would you conclude that Robin does not always stay up late?</p>",24,22,1,1,0.9166666666666666,0.041666666666666664,0.041666666666666664
attractive,1,1,<p style='font-size: 25px;'>Rowan is attractive. <br>Would you conclude that Rowan is not stunning? </p>,24,6,4,14,0.25,0.16666666666666666,0.5833333333333334
attractive,2,2,"<p style='font-size: 25px;'>At a class reunion, Rowan is absent. <br>When people talk about each other, someone asks Rowan's best friend Jane: &quot;Is Rowan attractive?&quot;<br>Jane replies: &quot;Rowan is attractive.&quot;<br>Would you conclude that Rowan is not stunning?</p>",24,11,2,11,0.4583333333333333,0.08333333333333333,0.4583333333333333
attractive,2,3,"<p style='font-size: 25px;'>At a class reunion, Rowan is absent. <br>When people talk about each other, someone asks Rowan's best friend Jane: &quot;Is Rowan stunning?&quot;<br>Jane replies: &quot;Rowan is attractive.&quot;<br>Would you conclude that Rowan is not stunning?</p>",24,8,6,10,0.3333333333333333,0.25,0.4166666666666667
cold,1,1,<p style='font-size: 25px;'>The weather is cool. <br>Would you conclude that the weather is not cold? </p>,24,9,3,12,0.375,0.125,0.5
cold,2,2,"<p style='font-size: 25px;'>The cold wave is coming and the temperature is getting lower day by day. <br>One weekend morning, Sarah came back from buying breakfast and complained about the weather. <br>Her roommate asked her: &quot;Is the weather cool?&quot;<br>Sarah replies: &quot;It is cool today.&quot;<br>Would you conclude that it is not cold outside?</p>",24,7,5,12,0.2916666666666667,0.20833333333333334,0.5
cold,2,3,"<p style='font-size: 25px;'>The cold wave is coming and the temperature is getting lower day by day. <br>One weekend morning, Sarah came back from buying breakfast and complained about the weather. <br>Her roommate asked her: &quot;Is the weather cold?&quot;<br>Sarah replies: &quot;It is cool today.&quot;<br>Would you conclude that it is not cold outside?</p>",24,8,2,14,0.3333333333333333,0.08333333333333333,0.5833333333333334
hard,1,1,<p style='font-size: 25px;'> The problem is hard. <br>Would you conclude that the problem is not unsolvable? </p>,24,13,7,4,0.5416666666666666,0.2916666666666667,0.16666666666666666
hard,2,2,"<p style='font-size: 25px;'>During a class review session, Mr. Wang goes over the homework with his students. <br>When he gets to George's paper, he notices that George makes a mistake on one of the questions.<br>Curious about how George approaches the problem, Mr. Wang asks: &quot;Was the problem hard?&quot;<br>George replies: &quot;The problem was hard.&quot; <br>Would you conculde that the problem was not unsolvable?</p>",24,17,4,3,0.7083333333333334,0.16666666666666666,0.125
hard,2,3,"<p style='font-size: 25px;'>During a class review session, Mr. Wang goes over the homework with his students. <br>When he gets to George's paper, he notices that George makes a mistake on one of the questions.<br>Curious about how George approaches the problem, Mr. Wang asks: &quot;Was the problem unsolvable?&quot;<br>George replies: &quot;The problem was hard.&quot;<br>Would you conculde that the problem was not unsolvable?</p>",24,19,1,4,0.7916666666666666,0.041666666666666664,0.16666666666666666
small,1,1,<p style='font-size: 25px;'>The box is small. <br>Would you conclude that the box is not tiny? </p>,24,11,6,7,0.4583333333333333,0.25,0.2916666666666667
small,2,2,"<p style='font-size: 25px;'>John was getting married in a few days, and he was going to put the ring in his pocket so he could take it out for the wedding. <br>To keep the ring from wearing out, he wanted a box for the ring. <br>So he asked his friend Tommy to buy one. <br>Tommy called John after choosing the box, and John asked: &quot;Is the box small?&quot;<br>Tommy replies: &quot;The box is small.&quot;<br>Would you conclude that the box is not tiny?</p>",24,11,6,7,0.4583333333333333,0.25,0.2916666666666667
small,2,3,"<p style='font-size: 25px;'>John was getting married in a few days, and he was going to put the ring in his pocket so he could take it out for the wedding. <br>To keep the ring from wearing out, he wanted a box for the ring. <br>So he asked his friend Tommy to buy one. <br>Tommy called John after choosing the box, and John asked: &quot;Is the box tiny?&quot;<br>Tommy replies: &quot;The box is small.&quot;<br>Would you conclude that the box is not tiny?</p>",24,12,4,8,0.5,0.16666666666666666,0.3333333333333333
some,1,1,<p style='font-size: 25px;'>Daphne eats some of the cookies. <br>Would you conclude that Daphne did not eat all of the cookies?</p>,24,20,2,2,0.8333333333333334,0.08333333333333333,0.08333333333333333
some,2,2,"<p style='font-size: 25px;'>Mom does not allow Daphne to eat cookies. <br>One day, after returning home, Mom asks Daphne: &quot;Did you eat some of the cookies?&quot;<br>Daphne replies: &quot;I ate some of the cookies.&quot;<br>Would you conclude that Daphne did not eat all of the cookies?</p>",24,22,0,2,0.9166666666666666,0.0,0.08333333333333333
some,2,3,"<p style='font-size: 25px;'>Mom does not allow Daphne to eat cookies. <br>One day, after returning home, Mom asks Daphne: &quot;Did you eat all of the cookies?&quot;<br>Daphne replies: &quot;I ate some of the cookies.&quot;<br>Would you conclude that Daphne did not eat all of the cookies?</p>",24,22,1,1,0.9166666666666666,0.041666666666666664,0.041666666666666664
