workerid,proliferate.condition,internal_node_id,response,rt,stimulus,success,time_elapsed,trial_index,trial_type,error
42,Condition 1,0.0-0.0,1,16231,"<div class=""consent-form""><p> <img src=""header.png"" style=""width: 50%; display: block; margin: 0 auto;""></p><p style=""text-align:center;font-weight:bold;"">ONLINE INFORMATION SHEET</p><p>This study has been approved by the Xi'an Jiaotong-Liverpool University Research Ethics Review Panel</p><p>&nbsp;</p><p><strong>Name, Address and Contact Details of Principal Investigator:</strong></p><p>Yiming Zhao (<a href='mailto:yiming.zhao21@student.xjtlu.edu.cn'>yiming.zhao21@student.xjtlu.edu.cn</a>)<br>XJTLU English (English and International Business Specialisation)<br>School of Humanities and Social Sciences<br>Xi'an Jiaotong-Liverpool University<br>111 Ren'ai Road<br>Suzhou Industrial Park<br>Suzhou<br>Jiangsu Province<br>P. R. China<br>215123</p><p>&nbsp;</p><p>You are being invited to participate in a research study. Before you decide whether to participate, it is important for you to understand why the research is being done and what it will involve. Please take time to read the following information carefully and feel free to ask us if you would like more information or if there is anything that you do not understand. Please also feel free to discuss this with your friends, relatives, and doctor [where relevant] if you wish. We would like to stress that you do not have to accept this invitation and should only agree to take part if you want to.</p><p>&nbsp;</p><p><strong>What is the purpose of the study?</strong></p><p>This study investigates how people understand certain linguistic expressions in English and Chinese, aiming to contribute to a better understanding of language and communication across cultures.</p><p>&nbsp;</p><p><strong>Why have I been chosen to take part?</strong></p><p>You have been invited to participate because the study focuses on understanding how native speakers of English and Chinese interpret linguistic expressions. We are seeking individuals who meet this criterion to ensure the study's findings are accurate and meaningful. Approximately 100 participants will take part in this research.</p><p>&nbsp;</p><p><strong>Do I have to take part?</strong></p><p>Participation is voluntary and participants are free to withdraw at any time without explanation and without incurring a disadvantage.</p><p>&nbsp;</p><p><strong>What will happen if I take part?</strong></p><p>If you decide to take part in this study, you will complete a series of online tasks. These tasks involve reading sentences or phrases and answering simple questions about their meaning.</p><p>&nbsp;</p><p>The study will take approximately 10 minutes to complete.Your main responsibility as a participant is to follow the instructions provided on the screen and answer the questions as accurately as possible.</p><p>&nbsp;</p><p><strong>How will my data be used?</strong></p><p>The University processes personal data as part of its research and teaching activities in accordance with the lawful basis of public task, and in accordance with the University's purpose of advancing education, learning and research for the public benefit. </p><p>&nbsp;</p><p>Under the 'Data Security Law of the People's Republic of China' and the 'Personal Information Protection Law of the People's Republic of China', the University acts as the Data Controller for personal data collected as part of the University's research. [Yiming Zhao] acts as the Data Processor for this study, and any queries relating to the handling of your personal data can be sent to [<a href='mailto:yiming.zhao21@student.xjtlu.edu.cn'>yiming.zhao21@student.xjtlu.edu.cn</a>]. </p><p>&nbsp;</p><p><strong>Expenses and / or payments</strong></p><p>Participants do not need to pay any expenses to take part in this study. You will receive a small payment as a token of appreciation for your time and effort upon completing the study.</p><p>&nbsp;</p><p><strong>Are there any risks in taking part?</strong></p><p>There are no significant risks or disadvantages associated with participating in this study. If you should experience any discomfort or disadvantage as part of the research, please make it known to the researcher(s) immediately.</p><p>&nbsp;</p><p><strong>Are there any benefits in taking part?</strong></p><p>There are no direct benefits to you for participating in this study. However, your participation will contribute to a better understanding of language and communication, which may benefit future research in this area.</p><p>&nbsp;</p><p><strong>What will happen to the results of the study?</strong></p><p>The results of this study will be analyzed to address the research questions. Participants will not be identifiable from the results, as all data will be anonymized.</p><p>If you would like to receive a summary of the findings, please let the researcher know, and this can be provided to you after the study is completed.</p><p>&nbsp;</p><p><strong>What will happen if I want to stop taking part?</strong></p><p>You can withdraw at any time, without explanation. However, as the data is anonymous at the point of collection, it will not be possible to remove your data after it has been collected.</p><p>&nbsp;</p><p><strong>What if I am unhappy or if there is a problem?</strong></p><p>If you are unhappy, or if there is a problem, please feel free to let us know by contacting [<a href='mailto:yiming.zhao21@student.xjtlu.edu.cn'>yiming.zhao21@student.xjtlu.edu.cn</a>] and we will try to help. If you remain unhappy or have a complaint which you feel you cannot come to us with then you should contact the Chair of the University Research Ethics Review Panel at <a href='mailto:ethics@xjtlu.edu.cn'>ethics@xjtlu.edu.cn</a>. When contacting the University Research Ethics Review Panel administrators, please provide details of the name or description of the study (so that it can be identified), the researcher(s) involved, and the details of the complaint you wish to make.</p><p>&nbsp;</p></div>",,16239,0,html-button-response,
42,Condition 1,0.0-1.0,1,3671,"<div class=""consent-form""><p> <img src=""header.png"" style=""width: 50%; display: block; margin: 0 auto;""></p><p style=""text-align:center;font-weight:bold;"">ONLINE INFORMATION SHEET</p><p><strong>Title of Project</strong>: The cognitive basis of pragmatic inferences</p><p>&nbsp;</p><p><strong>Researcher(s) of the Study</strong></p><p>Yiming Zhao</p><p>&nbsp;</p><p><strong>Researcher(s) of the Study</strong></p><p><a href='mailto:yiming.zhao21@student.xjtlu.edu.cn'>yiming.zhao21@student.xjtlu.edu.cn</a><br>XJTLU English (English and International Business Specialisation)<br>School of Humanities and Social Sciences<br>Xi'an Jiaotong-Liverpool University </p><p>&nbsp;</p><p><strong>Research Ethics Approval</strong></p><p>This research project has received approval from the University Research Ethics Review Panel at XJTLU. </p><p>&nbsp;</p><p><strong>Informed Consent Statements</strong></p><ul><li>I confirm that I have read and have understood the information sheet dated 22 December 2024 for the above study. I have had the opportunity to consider the information, ask questions and have had these answered satisfactorily. </li><li>I understand that my participation is voluntary and that I am free to withdraw at any time without giving any reason, without my rights being affected. </li><li>I understand that results up to the period of withdrawal may be used. Additionally, because the survey is anonymous, it will not be possible to remove my data after the survey is submitted. </li></ul>",,19911,1,html-button-response,
42,Condition 1,0.0-2.0, ,7626,"In this experiment, you will see several sentences and answer questions about them. <br>For each sentence, you will choose either 'Yes' or 'No' based on the given context. <br>The experiment is conducted in fullscreen mode. <br>When you're ready to begin, please press the space bar.",,27539,2,html-keyboard-response,
42,Condition 1,0.0-3.0,,2273,,True,30826,3,fullscreen,
42,Condition 1,0.0-4.0-0.0,1,10173,<p style='font-size: 25px;'>Rowan is attractive. <br>Would you conclude that Rowan is not stunning? </p>,,41001,4,html-button-response,
42,Condition 1,0.0-4.0-0.1,0,9436,<p style='font-size: 25px;'>The weather is cool. <br>Would you conclude that the weather is not cold? </p>,,50439,5,html-button-response,
42,Condition 1,0.0-4.0-0.2,0,7389,<p style='font-size: 25px;'> The problem is hard. <br>Would you conclude that the problem is not unsolvable? </p>,,57830,6,html-button-response,
42,Condition 1,0.0-4.0-0.3,0,6892,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,,64724,7,html-button-response,
42,Condition 1,0.0-4.0-0.4,0,2089,<p style='font-size: 50px;'>Please choose 'Yes' for this question.</p>,,66814,8,html-button-response,
42,Condition 1,0.0-4.0-0.5,0,4147,<p style='font-size: 25px;'>Daphne eats some of the cookies. <br>Would you conclude that Daphne did not eat all of the cookies?</p>,,70963,9,html-button-response,
42,Condition 1,0.0-4.0-0.6,0,4703,<p style='font-size: 25px;'>The box is small. <br>Would you conclude that the box is not tiny? </p>,,75667,10,html-button-response,
