workerid,internal_node_id,response,rt,stimulus,time_elapsed,trial_index,scales,within_group,exp_group
35,0.0-4.0-0.0,0,5947,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,28558,4,always,1,1
35,0.0-4.0-0.9,0,3805,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,59562,13,always,1,1
36,0.0-4.0-0.4,0,6560,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,64937,8,always,1,1
36,0.0-4.0-0.13,0,5925,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,103824,17,always,1,1
37,0.0-4.0-0.2,0,7738,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,31882,6,always,1,1
37,0.0-4.0-0.9,0,8937,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,73828,13,always,1,1
38,0.0-4.0-0.1,0,5815,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,43878,5,always,1,1
38,0.0-4.0-0.10,0,2444,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,68600,14,always,1,1
39,0.0-4.0-0.4,0,10073,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,60953,8,always,1,1
39,0.0-4.0-0.9,0,3420,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,79184,13,always,1,1
40,0.0-4.0-0.6,0,4190,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,184237,10,always,1,1
40,0.0-4.0-0.10,0,2854,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,203337,14,always,1,1
41,0.0-4.0-0.0,0,6677,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,52340,4,always,1,1
41,0.0-4.0-0.12,0,4473,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,123550,16,always,1,1
42,0.0-4.0-0.3,0,6892,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,64724,7,always,1,1
42,0.0-4.0-0.11,0,5470,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,97225,15,always,1,1
43,0.0-4.0-0.5,1,1081,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,39665,9,always,1,1
43,0.0-4.0-0.7,0,1001,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,41351,11,always,1,1
44,0.0-4.0-0.2,0,8999,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,105379,6,always,1,1
44,0.0-4.0-0.9,0,10639,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,159179,13,always,1,1
45,0.0-4.0-0.0,0,7004,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,33966,4,always,1,1
45,0.0-4.0-0.13,0,4751,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,82824,17,always,1,1
46,0.0-4.0-0.1,0,8151,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,222302,5,always,1,1
46,0.0-4.0-0.10,0,10039,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,292919,14,always,1,1
47,0.0-4.0-0.0,0,7579,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,25260,4,always,1,1
47,0.0-4.0-0.11,0,3735,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,65740,15,always,1,1
48,0.0-4.0-0.3,0,6332,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,37389,7,always,1,1
48,0.0-4.0-0.11,0,2553,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,62118,15,always,1,1
49,0.0-4.0-0.0,0,7430,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,59793,4,always,1,1
49,0.0-4.0-0.11,0,5148,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,109908,15,always,1,1
50,0.0-4.0-0.6,0,5055,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,133670,10,always,1,1
50,0.0-4.0-0.11,0,3407,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,148376,15,always,1,1
52,0.0-4.0-0.6,0,6969,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,129371,10,always,1,1
52,0.0-4.0-0.10,0,6361,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,161406,14,always,1,1
53,0.0-4.0-0.1,0,5487,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,26031,5,always,1,1
53,0.0-4.0-0.11,0,7466,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,78167,15,always,1,1
54,0.0-4.0-0.0,0,4861,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,38384,4,always,1,1
54,0.0-4.0-0.13,0,5174,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,77125,17,always,1,1
55,0.0-4.0-0.5,0,14962,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,90967,9,always,1,1
55,0.0-4.0-0.11,0,9368,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,140933,15,always,1,1
56,0.0-4.0-0.3,0,5214,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,34779,7,always,1,1
56,0.0-4.0-0.10,0,4438,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,69483,14,always,1,1
57,0.0-4.0-0.3,0,9415,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,280511,7,always,1,1
57,0.0-4.0-0.9,0,6854,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,383487,13,always,1,1
58,0.0-4.0-0.5,0,9173,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,103614,9,always,1,1
58,0.0-4.0-0.10,0,5193,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,127886,14,always,1,1
59,0.0-4.0-0.6,0,6406,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,139110,10,always,1,1
59,0.0-4.0-0.12,0,8771,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,191351,16,always,1,1
35,0.0-5.0-0.12,1,4758,"<p style='font-size: 25px;'>Robin's Dad advises Robin to go to bed early.<br>One evening, after dinner, Dad asks Robin: &quot;Do you always stay up late?&quot;<br>Robin replies: &quot;I sometimes stay up late.&quot;<br>Would you conclude that Robin does not always stay up late?</p>",161580,30,always,2,3
35,0.0-5.0-0.20,1,3610,"<p style='font-size: 25px;'>Robin's Dad advises Robin to go to bed early.<br>One evening, after dinner, Dad asks Robin: &quot;Do you always stay up late?&quot;<br>Robin replies: &quot;I sometimes stay up late.&quot;<br>Would you conclude that Robin does not always stay up late?</p>",194160,38,always,2,3
36,0.0-5.0-0.3,0,4685,"<p style='font-size: 25px;'>Robin's Dad advises Robin to go to bed early.<br>One evening, after dinner, Dad asks Robin: &quot;Do you always stay up late?&quot;<br>Robin replies: &quot;I sometimes stay up late.&quot;<br>Would you conclude that Robin does not always stay up late?</p>",142809,21,always,2,3
36,0.0-5.0-0.17,0,4939,"<p style='font-size: 25px;'>Robin's Dad advises Robin to go to bed early.<br>One evening, after dinner, Dad asks Robin: &quot;Do you always stay up late?&quot;<br>Robin replies: &quot;I sometimes stay up late.&quot;<br>Would you conclude that Robin does not always stay up late?</p>",208555,35,always,2,3
37,0.0-5.0-0.7,0,9390,"<p style='font-size: 25px;'>Robin's Dad advises Robin to go to bed early.<br>One evening, after dinner, Dad asks Robin: &quot;Do you always stay up late?&quot;<br>Robin replies: &quot;I sometimes stay up late.&quot;<br>Would you conclude that Robin does not always stay up late?</p>",205405,25,always,2,3
37,0.0-5.0-0.15,0,4152,"<p style='font-size: 25px;'>Robin's Dad advises Robin to go to bed early.<br>One evening, after dinner, Dad asks Robin: &quot;Do you always stay up late?&quot;<br>Robin replies: &quot;I sometimes stay up late.&quot;<br>Would you conclude that Robin does not always stay up late?</p>",275704,33,always,2,3
38,0.0-5.0-0.3,0,4991,"<p style='font-size: 25px;'>Robin's Dad advises Robin to go to bed early.<br>One evening, after dinner, Dad asks Robin: &quot;Do you always stay up late?&quot;<br>Robin replies: &quot;I sometimes stay up late.&quot;<br>Would you conclude that Robin does not always stay up late?</p>",99559,21,always,2,3
38,0.0-5.0-0.17,0,1580,"<p style='font-size: 25px;'>Robin's Dad advises Robin to go to bed early.<br>One evening, after dinner, Dad asks Robin: &quot;Do you always stay up late?&quot;<br>Robin replies: &quot;I sometimes stay up late.&quot;<br>Would you conclude that Robin does not always stay up late?</p>",134921,35,always,2,3
39,0.0-5.0-0.7,0,3068,"<p style='font-size: 25px;'>Robin's Dad advises Robin to go to bed early.<br>One evening, after dinner, Dad asks Robin: &quot;Do you always stay up late?&quot;<br>Robin replies: &quot;I sometimes stay up late.&quot;<br>Would you conclude that Robin does not always stay up late?</p>",156278,25,always,2,3
