scales,within_group,exp_group,stimulus,obs,yes,unsure,no,yes_rate,unsure_rate,no_rate,,context,
always,1,1,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,24,21,3,0,0.875,0.125,0,,_C,
always,2,2,<p style='font-size: 25px;'>A: Does Robin sometimes stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,24,22,2,0,0.916666667,0.083333333,0,,_C,weaker scalar question
always,2,3,<p style='font-size: 25px;'>A: Does Robin always stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,24,21,3,0,0.875,0.125,0,,_C,stronger scalar question
attractive,1,1,<p style='font-size: 25px;'>Rowan is attractive. <br>Would you conclude that Rowan is not stunning? </p>,24,7,3,14,0.291666667,0.125,0.583333333,,,
attractive,2,2,<p style='font-size: 25px;'>A: Is Rowan attractive? <br>B: Rowan is attractive. <br>Would you conclude that Rowan is not stunning?</p>,24,10,2,12,0.416666667,0.083333333,0.5,,_____scales__yes_rate__,
attractive,2,3,<p style='font-size: 25px;'>A: Is Rowan stunning? <br>B: Rowan is attractive. <br>Would you conclude that Rowan is not stunning?</p>,24,10,7,7,0.416666667,0.291666667,0.291666667,,___,
cold,1,1,<p style='font-size: 25px;'>The weather is cool. <br>Would you conclude that the weather is not cold? </p>,24,13,1,10,0.541666667,0.041666667,0.416666667,,,
cold,2,2,<p style='font-size: 25px;'>A: Is the weather cool? <br>B: The weather is cool. <br>Would you conclude that the weather is not cold?</p>,24,13,2,9,0.541666667,0.083333333,0.375,,,
cold,2,3,<p style='font-size: 25px;'>A: Is the weather cold? <br>B: The weather is cool. <br>Would you conclude that the weather is not cold? </p>,24,12,4,8,0.5,0.166666667,0.333333333,,,
hard,1,1,<p style='font-size: 25px;'> The problem is hard. <br>Would you conclude that the problem is not unsolvable? </p>,24,13,7,4,0.541666667,0.291666667,0.166666667,,,
hard,2,2,<p style='font-size: 25px;'>A: Is the problem hard? <br>B: The problem is hard. <br>Would you conclude that the problem is not unsolvable? </p>,24,17,2,5,0.708333333,0.083333333,0.208333333,,,
hard,2,3,<p style='font-size: 25px;'>A: Is the problem unsolvable? <br>B: The problem is hard. <br>Would you conclude that the problem is not unsolvable? </p>,24,18,3,3,0.75,0.125,0.125,,,
small,1,1,<p style='font-size: 25px;'>The box is small. <br>Would you conclude that the box is not tiny? </p>,24,10,2,12,0.416666667,0.083333333,0.5,,,
small,2,2,<p style='font-size: 25px;'>A: Is the box small? <br>B: The box is small. <br>Would you conclude that the box is not tiny?</p>,24,12,2,10,0.5,0.083333333,0.416666667,,,
small,2,3,<p style='font-size: 25px;'>A: Is the box tiny? <br>B: The box is small. <br>Would you conclude that the box is not tiny? </p>,24,12,3,9,0.5,0.125,0.375,,,
some,1,1,<p style='font-size: 25px;'>Daphne eats some of the cookies. <br>Would you conclude that Daphne did not eat all of the cookies?</p>,24,23,1,0,0.958333333,0.041666667,0,,,
some,2,2,<p style='font-size: 25px;'>A: Did Daphne eat some of the cookies? <br>B: Daphne eats some of the cookies. <br>Would you conclude that Daphne did not eat all of the cookies?</p>,24,24,0,0,1,0,0,,,
some,2,3,<p style='font-size: 25px;'>A: Did Daphne eat all of the cookies? <br>B: Daphne eats some of the cookies. <br>Would you conclude that Daphne did not eat all of the cookies?</p>,24,24,0,0,1,0,0,,,
