workerid,internal_node_id,response,rt,stimulus,time_elapsed,trial_index,scales,within_group,exp_group
6,0.0-4.0-0.3,0,9077,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,54900,7,always,1,1
6,0.0-4.0-0.11,0,8051,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,112100,15,always,1,1
7,0.0-4.0-0.4,0,2095,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,29695,8,always,1,1
7,0.0-4.0-0.10,0,2821,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,44681,14,always,1,1
8,0.0-4.0-0.3,0,7922,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,65602,7,always,1,1
8,0.0-4.0-0.9,0,7478,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,129372,13,always,1,1
11,0.0-4.0-0.4,0,8338,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,110372,8,always,1,1
11,0.0-4.0-0.8,0,6684,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,147580,12,always,1,1
12,0.0-4.0-0.2,0,6298,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,61773,6,always,1,1
12,0.0-4.0-0.11,0,5065,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,117847,15,always,1,1
13,0.0-4.0-0.5,0,7117,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,128744,9,always,1,1
13,0.0-4.0-0.8,0,8285,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,147025,12,always,1,1
14,0.0-4.0-0.4,0,8085,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,82662,8,always,1,1
14,0.0-4.0-0.11,0,5183,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,144418,15,always,1,1
15,0.0-4.0-0.0,1,6234,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,24949,4,always,1,1
15,0.0-4.0-0.7,0,9706,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,57569,11,always,1,1
16,0.0-4.0-0.6,0,3208,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,70211,10,always,1,1
16,0.0-4.0-0.13,0,5031,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,95067,17,always,1,1
17,0.0-4.0-0.4,0,4181,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,82576,8,always,1,1
17,0.0-4.0-0.7,0,2936,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,97439,11,always,1,1
18,0.0-4.0-0.5,0,7694,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,82357,9,always,1,1
18,0.0-4.0-0.11,0,11267,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,123535,15,always,1,1
20,0.0-4.0-0.3,0,2894,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,28096,7,always,1,1
20,0.0-4.0-0.10,0,2062,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,47840,14,always,1,1
21,0.0-4.0-0.2,0,5443,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,39520,6,always,1,1
21,0.0-4.0-0.11,0,2991,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,66444,15,always,1,1
22,0.0-4.0-0.2,1,2923,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,33256,6,always,1,1
22,0.0-4.0-0.12,0,5510,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,90320,16,always,1,1
